timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,"UserId"
1622138733161,264,CreateUser Request,200,OK,Thread Group 1-2,text,true,,1005,392,4,4,https://gorest.co.in/public-api/users,264,0,0,5180
1622138733226,265,Create user Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1015,403,4,4,null,0,0,0,5181
1622138733226,265,CreateUser Request,200,OK,Thread Group 1-1,text,true,,1015,403,4,4,https://gorest.co.in/public-api/users,265,0,0,5181
1622138733303,259,Create user Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,1013,401,4,4,null,0,0,0,5182
1622138733303,259,CreateUser Request,200,OK,Thread Group 1-3,text,true,,1013,401,4,4,https://gorest.co.in/public-api/users,259,0,0,5182
1622138733383,249,Create user Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,1002,389,5,5,null,0,2,0,5183
1622138733383,249,CreateUser Request,200,OK,Thread Group 1-4,text,true,,1002,389,5,5,https://gorest.co.in/public-api/users,249,0,0,5183
1622138733426,262,Create user Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,1015,403,5,5,null,0,1,0,5184
1622138733426,262,CreateUser Request,200,OK,Thread Group 1-2,text,true,,1015,403,5,5,https://gorest.co.in/public-api/users,262,0,0,5184
1622138733492,270,Create user Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1011,399,5,5,null,0,1,0,5185
1622138733492,270,CreateUser Request,200,OK,Thread Group 1-1,text,true,,1011,399,5,5,https://gorest.co.in/public-api/users,270,0,0,5185
1622138733563,272,Create user Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,1009,396,5,5,null,0,1,0,5186
1622138733563,272,CreateUser Request,200,OK,Thread Group 1-3,text,true,,1009,396,5,5,https://gorest.co.in/public-api/users,272,0,0,5186
1622138733636,262,Create user Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,1011,399,5,5,null,0,3,0,5187
1622138733637,262,CreateUser Request,200,OK,Thread Group 1-4,text,true,,1011,399,5,5,https://gorest.co.in/public-api/users,261,0,0,5187
