timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,"UserId"
1622138669556,270,Get User Transaction-0,200,OK,Thread Group 1-1,text,true,,4530,189,4,4,https://gorest.co.in/public-api/users,270,0,0,null
1622138669626,261,Get User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,4530,189,4,4,null,0,1,0,null
1622138669627,261,Get User Transaction-0,200,OK,Thread Group 1-3,text,true,,4530,189,4,4,https://gorest.co.in/public-api/users,261,0,0,null
1622138669684,262,Get User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,4530,189,5,5,null,0,1,0,null
1622138669685,262,Get User Transaction-0,200,OK,Thread Group 1-4,text,true,,4530,189,5,5,https://gorest.co.in/public-api/users,262,0,0,null
1622138669746,271,Get User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,4530,189,5,5,null,0,0,0,null
1622138669746,271,Get User Transaction-0,200,OK,Thread Group 1-2,text,true,,4530,189,5,5,https://gorest.co.in/public-api/users,271,0,0,null
1622138669826,261,Get User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,4530,189,5,5,null,0,1,0,null
1622138669827,261,Get User Transaction-0,200,OK,Thread Group 1-1,text,true,,4530,189,5,5,https://gorest.co.in/public-api/users,261,0,0,null
1622138669888,266,Get User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,4530,189,5,5,null,0,0,0,null
1622138669888,266,Get User Transaction-0,200,OK,Thread Group 1-3,text,true,,4530,189,5,5,https://gorest.co.in/public-api/users,266,0,0,null
1622138669948,269,Get User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,4530,189,5,5,null,0,0,0,null
1622138669948,269,Get User Transaction-0,200,OK,Thread Group 1-4,text,true,,4530,189,5,5,https://gorest.co.in/public-api/users,269,0,0,null
1622138670017,270,Get User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,4530,189,5,5,null,0,2,0,null
1622138670018,270,Get User Transaction-0,200,OK,Thread Group 1-2,text,true,,4530,189,5,5,https://gorest.co.in/public-api/users,270,0,0,null
1622138670089,266,Get User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,4530,189,5,5,null,0,0,0,null
1622138670089,266,Get User Transaction-0,200,OK,Thread Group 1-1,text,true,,4530,189,5,5,https://gorest.co.in/public-api/users,265,0,0,null
1622138670154,268,Get User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,4530,189,5,5,null,0,1,0,null
1622138670155,268,Get User Transaction-0,200,OK,Thread Group 1-3,text,true,,4530,189,5,5,https://gorest.co.in/public-api/users,268,0,0,null
1622138669928,561,Get User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,4530,189,5,5,null,0,1,252,null
1622138669929,561,Get User Transaction-0,200,OK,Thread Group 1-5,text,true,,4530,189,5,5,https://gorest.co.in/public-api/users,561,0,252,null
1622138670218,332,Get User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,4530,189,5,5,null,0,0,0,null
1622138670218,332,Get User Transaction-0,200,OK,Thread Group 1-4,text,true,,4530,189,5,5,https://gorest.co.in/public-api/users,332,0,0,null
1622138670289,324,Get User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,4530,189,5,5,null,0,0,0,null
1622138670289,324,Get User Transaction-0,200,OK,Thread Group 1-2,text,true,,4530,189,5,5,https://gorest.co.in/public-api/users,324,0,0,null
1622138670355,333,Get User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,4530,189,5,5,null,0,1,0,null
1622138670356,333,Get User Transaction-0,200,OK,Thread Group 1-1,text,true,,4530,189,5,5,https://gorest.co.in/public-api/users,333,0,0,null
1622138670424,330,Get User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,4530,189,5,5,null,0,0,0,null
1622138670424,330,Get User Transaction-0,200,OK,Thread Group 1-3,text,true,,4530,189,5,5,https://gorest.co.in/public-api/users,330,0,0,null
1622138670490,329,Get User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,4530,189,5,5,null,0,0,0,null
1622138670490,329,Get User Transaction-0,200,OK,Thread Group 1-5,text,true,,4530,189,5,5,https://gorest.co.in/public-api/users,329,0,0,null
1622138670551,333,Get User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,4530,189,5,5,null,0,0,0,null
1622138670551,333,Get User Transaction-0,200,OK,Thread Group 1-4,text,true,,4530,189,5,5,https://gorest.co.in/public-api/users,333,0,0,null
